specialty_id,specialty_name,minimum_total_gme_years,representative_total_gme_years,task_wrvu_per_total_physician_hour,nih_grants_per_active_physician_per_year,nih_funding_thousand_usd_per_active_physician_per_year,private_practice_percent,average_total_compensation_usd,physicians_per_1000_relevant_patients,candidates_per_position,female_resident_percent,procedure_profile,procedure_intensity
medical-toxicology,"Medical Toxicology",5.000000000,5.000000000,2.451100111,6.3000001013e-2,31.39999962,33.20000076,440000.0000,0.2325000000,0.8333333333,39.25233600,predominantly-clinical,0.000000000
pediatric-emergency-medicine,"Pediatric Emergency Medicine",5.000000000,5.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.8260958904,0.9442231076,70.06369400,mixed-procedural-clinical,0.5000000000
sports-medicine,"Sports Medicine",4.000000000,4.000000000,3.144399881,1.2000000104e-2,3.900000095,43.59999847,801000.0000,0.1609105181,1.269417476,33.58396000,mixed-procedural-clinical,0.5000000000
undersea-and-hyperbaric-medicine,"Undersea and Hyperbaric Medicine",4.000000000,4.000000000,2.451100111,6.3000001013e-2,31.39999962,33.20000076,440000.0000,0.3574600783,0.9771793943,44.44444400,predominantly-clinical,0.000000000
clinical-informatics,"Clinical Informatics",4.000000000,5.000000000,2.451100111,6.3000001013e-2,31.39999962,43.59999847,327000.0000,0.3574600783,0.9771793943,29.80132500,predominantly-clinical,0.000000000
geriatric-medicine,"Geriatric Medicine",4.000000000,4.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,327000.0000,0.1297577855,0.4948453608,65.97222200,predominantly-clinical,0.000000000
hospice-and-palliative-medicine,"Hospice and Palliative Medicine",4.000000000,4.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,327000.0000,0.3574600783,0.9435146444,62.76150600,predominantly-clinical,0.000000000
cardiology,"Cardiology (Cardiovascular Disease)",6.000000000,6.000000000,2.973500013,6.3000001013e-2,31.39999962,30.70000076,634000.0000,0.3574600783,1.266936039,30.29012500,mixed-procedural-clinical,0.5000000000
adult-congenital-heart-disease,"Adult Congenital Heart Disease",8.000000000,8.000000000,2.973500013,6.3000001013e-2,31.39999962,30.70000076,634000.0000,0.1740578577,1.040000000,46.66666700,mixed-procedural-clinical,0.5000000000
advanced-heart-failure-and-transplant-cardiology,"Advanced Heart Failure and Transplant Cardiology",7.000000000,7.000000000,2.973500013,6.3000001013e-2,31.39999962,30.70000076,634000.0000,0.1740578577,0.6929133858,43.82022500,mixed-procedural-clinical,0.5000000000
cardiac-electrophysiology,"Clinical Cardiac Electrophysiology",8.000000000,8.000000000,2.973500013,6.3000001013e-2,31.39999962,30.70000076,634000.0000,0.2175206612,1.266936039,13.79310300,procedure-dominant,1.000000000
interventional-cardiology,"Interventional Cardiology",7.000000000,7.000000000,2.973500013,6.3000001013e-2,31.39999962,30.70000076,634000.0000,0.2238805970,0.8045602606,18.23204400,procedure-dominant,1.000000000
internal-medicine-critical-care-medicine,"Internal Medicine Critical Care Medicine",5.000000000,5.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,327000.0000,2.280701754,1.814049587,33.16062200,mixed-procedural-clinical,0.5000000000
endocrinology-diabetes-and-metabolism,"Endocrinology, Diabetes, and Metabolism",5.000000000,5.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,320000.0000,0.2000000000,1.216080402,69.62190400,predominantly-clinical,0.000000000
gastroenterology,"Gastroenterology",6.000000000,6.000000000,2.868000031,6.3000001013e-2,31.39999962,39.20000076,626000.0000,0.2766666667,1.642951252,40.58577400,procedure-dominant,1.000000000
hematology-and-medical-oncology,"Hematology and Medical Oncology",6.000000000,6.000000000,2.400000095,6.3000001013e-2,31.39999962,39.20000076,587000.0000,0.8357500000,1.467243511,45.71179800,predominantly-clinical,0.000000000
infectious-disease,"Infectious Disease",5.000000000,5.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,321000.0000,0.2325000000,0.7136465324,50.25125600,predominantly-clinical,0.000000000
interventional-pulmonology,"Interventional Pulmonology",6.000000000,6.000000000,2.451100111,6.3000001013e-2,31.39999962,43.59999847,484000.0000,0.3574600783,1.294117647,20.58823500,procedure-dominant,1.000000000
medical-oncology,"Medical Oncology",5.000000000,6.000000000,2.400000095,6.3000001013e-2,31.39999962,39.20000076,638000.0000,0.2389000000,15.33333333,40.00000000,predominantly-clinical,0.000000000
nephrology,"Nephrology",5.000000000,5.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,385000.0000,0.3098591549,0.7704590818,39.83644900,predominantly-clinical,0.000000000
pulmonary-disease,"Pulmonary Disease",5.000000000,5.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,484000.0000,0.3571428571,5.333333333,38.70967700,mixed-procedural-clinical,0.5000000000
pulmonary-disease-and-critical-care-medicine,"Pulmonary Disease and Critical Care Medicine",6.000000000,6.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,484000.0000,2.280701754,1.495260664,39.99181300,mixed-procedural-clinical,0.5000000000
rheumatology,"Rheumatology",5.000000000,5.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,318000.0000,0.1158088235,1.274834437,63.89830500,predominantly-clinical,0.000000000
sleep-medicine,"Sleep Medicine",4.000000000,4.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,327000.0000,0.1071428571,1.198198198,53.16455700,predominantly-clinical,0.000000000
transplant-hepatology,"Transplant Hepatology",7.000000000,7.000000000,2.868000031,6.3000001013e-2,31.39999962,39.20000076,459000.0000,0.2766666667,1.642951252,53.65853700,predominantly-clinical,0.000000000
medical-biochemical-genetics,"Medical Biochemical Genetics",5.000000000,5.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,240000.0000,5.3333333333e-2,0.4750000000,72.22222200,predominantly-clinical,0.000000000
molecular-genetic-pathology,"Molecular Genetic Pathology",5.000000000,5.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,240000.0000,6.3272069901e-2,0.8490566038,41.93548400,predominantly-clinical,0.000000000
clinical-neurophysiology,"Clinical Neurophysiology",5.000000000,5.000000000,2.451100111,9.2000000179e-2,44.29999924,43.59999847,370000.0000,0.1970000000,1.194444444,52.86624200,predominantly-clinical,0.000000000
epilepsy,"Epilepsy",5.000000000,5.000000000,2.451100111,9.2000000179e-2,44.29999924,43.59999847,370000.0000,0.1970000000,0.8586956522,54.38596500,predominantly-clinical,0.000000000
neurocritical-care,"Neurocritical Care",5.000000000,6.000000000,2.451100111,9.2000000179e-2,44.29999924,39.20000076,370000.0000,2.280701754,0.9771793943,42.18750000,mixed-procedural-clinical,0.5000000000
neurodevelopmental-disabilities,"Neurodevelopmental Disabilities",6.000000000,6.000000000,2.451100111,9.2000000179e-2,44.29999924,43.59999847,327000.0000,0.1970000000,1.024691358,77.77777800,predominantly-clinical,0.000000000
neuromuscular-medicine,"Neuromuscular Medicine",4.000000000,5.000000000,2.451100111,9.2000000179e-2,44.29999924,43.59999847,370000.0000,0.1970000000,0.9771793943,54.76190500,mixed-procedural-clinical,0.5000000000
vascular-neurology,"Vascular Neurology",5.000000000,5.000000000,3.345799923,1.4999999665e-2,5.800000191,51.20000076,370000.0000,0.1970000000,0.8559322034,43.54838700,predominantly-clinical,0.000000000
complex-family-planning,"Complex Family Planning",6.000000000,6.000000000,3.734400034,9.9999997765e-3,4.099999905,46.29999924,410000.0000,0.2517857143,0.7631578947,98.48484800,procedure-dominant,1.000000000
gynecologic-oncology,"Gynecologic Oncology",7.000000000,7.000000000,3.734400034,9.9999997765e-3,4.099999905,46.29999924,410000.0000,0.2517857143,1.125000000,79.61538500,procedure-dominant,1.000000000
maternal-fetal-medicine,"Maternal-Fetal Medicine",7.000000000,7.000000000,3.734400034,9.9999997765e-3,4.099999905,46.29999924,410000.0000,0.2517857143,0.9819277108,80.22471900,mixed-procedural-clinical,0.5000000000
reproductive-endocrinology-and-infertility,"Reproductive Endocrinology and Infertility",7.000000000,7.000000000,2.451100111,9.9999997765e-3,4.099999905,46.29999924,410000.0000,0.2517857143,1.237288136,80.43478300,procedure-dominant,1.000000000
urogynecology-and-reconstructive-pelvic-surgery,"Urogynecology and Reconstructive Pelvic Surgery",7.000000000,7.000000000,3.734400034,9.9999997765e-3,4.099999905,46.29999924,410000.0000,0.2517857143,1.378378378,82.24299100,procedure-dominant,1.000000000
ophthalmic-plastic-and-reconstructive-surgery,"Ophthalmic Plastic and Reconstructive Surgery",6.000000000,6.000000000,3.500000000,3.2000001520e-2,12.69999981,70.40000153,553000.0000,0.2037419355,0.9771793943,100.0000000,procedure-dominant,1.000000000
adult-reconstructive-orthopaedics,"Adult Reconstructive Orthopaedics",6.000000000,6.000000000,3.144399881,1.2000000104e-2,3.900000095,54.00000000,801000.0000,0.1609105181,1.659397715,5.660377000,procedure-dominant,1.000000000
foot-and-ankle-orthopaedics,"Foot and Ankle Orthopaedics",6.000000000,6.000000000,3.144399881,1.2000000104e-2,3.900000095,54.00000000,801000.0000,0.1609105181,1.659397715,15.38461500,procedure-dominant,1.000000000
hand-surgery,"Hand Surgery",6.000000000,6.000000000,3.144399881,1.2000000104e-2,3.900000095,54.00000000,801000.0000,0.1609105181,0.9154228856,50.29197100,procedure-dominant,1.000000000
musculoskeletal-oncology,"Musculoskeletal Oncology",6.000000000,6.000000000,2.451100111,1.2000000104e-2,3.900000095,43.59999847,801000.0000,0.2389000000,1.659397715,38.46153800,procedure-dominant,1.000000000
orthopaedic-sports-medicine,"Orthopaedic Sports Medicine",6.000000000,6.000000000,3.144399881,1.2000000104e-2,3.900000095,54.00000000,801000.0000,0.1609105181,1.659397715,12.61682200,procedure-dominant,1.000000000
orthopaedic-surgery-of-the-spine,"Orthopaedic Surgery of the Spine",6.000000000,6.000000000,3.144399881,1.2000000104e-2,3.900000095,54.00000000,801000.0000,0.1609105181,1.659397715,0.000000000,procedure-dominant,1.000000000
orthopaedic-trauma,"Orthopaedic Trauma",6.000000000,6.000000000,3.144399881,1.2000000104e-2,3.900000095,54.00000000,801000.0000,0.1609105181,1.659397715,42.10526300,procedure-dominant,1.000000000
pediatric-orthopaedics,"Pediatric Orthopaedics",6.000000000,6.000000000,3.144399881,1.2000000104e-2,3.900000095,54.00000000,801000.0000,0.8260958904,1.659397715,32.25806500,procedure-dominant,1.000000000
neurotology,"Neurotology",7.000000000,7.000000000,2.349999905,3.4000001848e-2,11.60000038,51.20000076,613000.0000,0.1200000000,1.439205955,34.21052600,procedure-dominant,1.000000000
pediatric-otolaryngology,"Pediatric Otolaryngology",6.000000000,6.000000000,2.349999905,3.4000001848e-2,11.60000038,51.20000076,613000.0000,0.8260958904,1.439205955,64.28571400,procedure-dominant,1.000000000
blood-banking-transfusion-medicine,"Blood Banking/Transfusion Medicine",3.000000000,5.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,409000.0000,0.3574600783,1.504716981,50.00000000,predominantly-clinical,0.000000000
chemical-pathology,"Chemical Pathology",3.000000000,5.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,409000.0000,6.3272069901e-2,1.504716981,0.000000000,predominantly-clinical,0.000000000
cytopathology,"Cytopathology",3.000000000,5.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,409000.0000,6.3272069901e-2,1.504716981,66.03773600,predominantly-clinical,0.000000000
forensic-pathology,"Forensic Pathology",3.000000000,5.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,409000.0000,6.3272069901e-2,0.7183098592,57.14285700,predominantly-clinical,0.000000000
hematopathology,"Hematopathology",3.000000000,5.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,409000.0000,6.3272069901e-2,0.9133858268,44.35483900,predominantly-clinical,0.000000000
medical-microbiology,"Medical Microbiology",5.000000000,5.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,409000.0000,0.2325000000,1.504716981,77.77777800,predominantly-clinical,0.000000000
neuropathology,"Neuropathology",4.000000000,6.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,409000.0000,6.3272069901e-2,1.504716981,50.90909100,predominantly-clinical,0.000000000
pediatric-pathology,"Pediatric Pathology",3.000000000,5.000000000,2.599999905,0.1120000035,47.79999924,38.09999847,409000.0000,0.8260958904,1.504716981,55.55555600,predominantly-clinical,0.000000000
selective-pathology,"Selective Pathology",3.000000000,5.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,409000.0000,6.3272069901e-2,1.504716981,47.80219800,predominantly-clinical,0.000000000
adolescent-medicine,"Adolescent Medicine",6.000000000,6.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.3574600783,0.5555555556,78.57142900,predominantly-clinical,0.000000000
child-abuse-pediatrics,"Child Abuse Pediatrics",6.000000000,6.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.8260958904,0.5357142857,79.59183700,predominantly-clinical,0.000000000
developmental-behavioral-pediatrics,"Developmental-Behavioral Pediatrics",6.000000000,6.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.8260958904,0.7200000000,87.50000000,predominantly-clinical,0.000000000
neonatal-perinatal-medicine,"Neonatal-Perinatal Medicine",6.000000000,6.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.3574600783,0.8766233766,75.50535100,mixed-procedural-clinical,0.5000000000
pediatric-cardiology,"Pediatric Cardiology",6.000000000,6.000000000,2.973500013,2.9999999329e-2,13.60000038,30.70000076,634000.0000,3.000000000,1.113402062,53.59223300,mixed-procedural-clinical,0.5000000000
pediatric-critical-care-medicine,"Pediatric Critical Care Medicine",6.000000000,6.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.8260958904,0.9045454545,72.06349200,mixed-procedural-clinical,0.5000000000
pediatric-endocrinology,"Pediatric Endocrinology",6.000000000,6.000000000,2.451100111,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.8260958904,0.5283018868,81.32780100,predominantly-clinical,0.000000000
pediatric-gastroenterology,"Pediatric Gastroenterology",6.000000000,6.000000000,2.868000031,2.9999999329e-2,13.60000038,38.09999847,626000.0000,0.8260958904,1.032258065,68.87608100,mixed-procedural-clinical,0.5000000000
pediatric-hematology-oncology,"Pediatric Hematology/Oncology",6.000000000,6.000000000,2.400000095,2.9999999329e-2,13.60000038,38.09999847,265000.0000,4.600000000,0.8144329897,69.81132100,predominantly-clinical,0.000000000
pediatric-infectious-diseases,"Pediatric Infectious Diseases",6.000000000,6.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,321000.0000,0.8260958904,0.5930232558,59.64912300,predominantly-clinical,0.000000000
pediatric-nephrology,"Pediatric Nephrology",6.000000000,6.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,385000.0000,0.8260958904,0.4383561644,70.28985500,predominantly-clinical,0.000000000
pediatric-pulmonology,"Pediatric Pulmonology",6.000000000,6.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.8260958904,0.6781609195,71.27659600,predominantly-clinical,0.000000000
pediatric-rheumatology,"Pediatric Rheumatology",6.000000000,6.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,318000.0000,0.8260958904,0.5681818182,80.19802000,predominantly-clinical,0.000000000
pediatric-transplant-hepatology,"Pediatric Transplant Hepatology",7.000000000,7.000000000,2.868000031,2.9999999329e-2,13.60000038,38.09999847,459000.0000,0.8260958904,0.5333333333,86.66666700,predominantly-clinical,0.000000000
pediatric-hospital-medicine,"Pediatric Hospital Medicine",5.000000000,5.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.8260958904,0.9860139860,82.62711900,predominantly-clinical,0.000000000
brain-injury-medicine,"Brain Injury Medicine",4.000000000,5.000000000,2.451100111,1.2000000104e-2,3.900000095,43.59999847,348000.0000,0.1970000000,0.7333333333,50.00000000,mixed-procedural-clinical,0.5000000000
spinal-cord-injury-medicine,"Spinal Cord Injury Medicine",4.000000000,5.000000000,2.451100111,1.2000000104e-2,3.900000095,43.59999847,348000.0000,0.3574600783,0.6969696970,56.00000000,mixed-procedural-clinical,0.5000000000
pediatric-rehabilitation-medicine,"Pediatric Rehabilitation Medicine",5.000000000,5.000000000,2.451100111,1.2000000104e-2,3.900000095,38.09999847,265000.0000,0.8260958904,0.5172413793,84.61538500,mixed-procedural-clinical,0.5000000000
craniofacial-surgery,"Craniofacial Surgery",7.000000000,7.000000000,2.502799988,2.3000000510e-4,0.1000000015,51.20000076,725000.0000,0.5040000000,0.9771793943,48.27586200,procedure-dominant,1.000000000
addiction-medicine,"Addiction Medicine",2.000000000,4.000000000,2.450000048,5.0000000745e-2,21.70000076,43.59999847,327000.0000,0.7067796610,0.7416974170,53.77358500,predominantly-clinical,0.000000000
addiction-psychiatry,"Addiction Psychiatry",5.000000000,5.000000000,2.450000048,5.0000000745e-2,21.70000076,45.20000076,351000.0000,0.7067796610,0.7767857143,40.50632900,predominantly-clinical,0.000000000
child-and-adolescent-psychiatry,"Child and Adolescent Psychiatry",5.000000000,5.000000000,2.450000048,5.0000000745e-2,21.70000076,45.20000076,265000.0000,0.7067796610,0.9724310777,60.57971000,predominantly-clinical,0.000000000
