specialty_id,specialty_name,training_duration_z,clinical_work_intensity_z,scientific_activity_index_z,private_practice_z,salary_z,workforce_burden_z,competitiveness_z,female_representation_z,procedure_intensity_z
aerospace-medicine,"Aerospace Medicine",-2.231031895,-0.6182672911,-2.281991202,-6.1723858118e-2,-0.5133657650,-2.855516274,-0.2254188056,-1.330186802,-0.9691641601
occupational-and-environmental-medicine,"Occupational and Environmental Medicine",-2.231031895,-0.6182672911,-2.281991202,-6.1723858118e-2,-0.5133657650,-2.855516274,-0.4647600113,-0.6275454431,-0.9691641601
psychiatry,"Psychiatry",-0.7971552610,-0.6216916746,0.5198639910,0.1800770611,-0.6231885097,0.8343016599,0.1223410274,0.1776523405,-0.9691641601
radiation-oncology,"Radiation Oncology",-8.0216877162e-2,-2.191558985,-8.7890936323e-2,-6.1723858118e-2,1.094051707,-0.2574080593,0.2101191937,-0.6068197533,0.1485009600
diagnostic-radiology,"Diagnostic Radiology",-8.0216877162e-2,1.222413289,-8.7890936323e-2,0.4369902909,1.278797736,0.2294000980,7.7978614717e-2,-1.041734034,0.1485009600
interventional-radiology-independent,"Interventional Radiology - Independent",1.353659749,1.222413289,-8.7890936323e-2,0.4369902909,1.278797736,0.2294000980,-1.065721414,-1.763853683,1.266166080
interventional-radiology-integrated,"Interventional Radiology - Integrated",0.6367214322,1.222413289,-8.7890936323e-2,0.4369902909,1.278797736,0.2294000980,9.2815734885e-2,-1.316689363,1.266166080
general-surgery,"General Surgery",-8.0216877162e-2,-0.4590404405,0.1054600302,-1.860115290,0.4424056506,0.4939655789,0.7739557347,8.4125246640e-3,1.266166080
vascular-surgery-integrated,"Vascular Surgery - Integrated",-8.0216877162e-2,-0.4590404405,0.1054600302,1.086829185,0.4424056506,0.3188839121,0.7334624310,-0.5062213872,1.266166080
thoracic-surgery-independent,"Thoracic Surgery - Independent",1.353659749,-0.4590404405,0.1054600302,1.086829185,0.4424056506,0.4939655789,1.055187945,-1.147319536,1.266166080
thoracic-surgery-integrated,"Thoracic Surgery - Integrated",0.6367214322,-0.4590404405,0.1054600302,1.086829185,0.4424056506,0.4939655789,0.8628337628,-0.6968674756,1.266166080
urology,"Urology",-8.0216877162e-2,1.755424903,-0.5461603479,1.086829185,1.059115437,-9.9581763798e-3,-0.2254188056,-0.6842215699,1.266166080
internal-medicine-pediatrics,"Internal Medicine/Pediatrics",-0.7971552610,-0.1683918882,0.1058006860,-0.8929133415,-1.412385470,0.9913054047,0.1552660869,0.6884460791,-0.9691641601
adult-cardiothoracic-anesthesiology,"Adult Cardiothoracic Anesthesiology",-8.0216877162e-2,-0.6182672911,-0.9710728993,0.3614276052,0.7382544532,1.008104707,0.4207775525,-0.8051112840,1.266166080
anesthesiology-critical-care-medicine,"Anesthesiology Critical Care Medicine",-8.0216877162e-2,-0.6182672911,-0.9710728993,0.3614276052,0.7382544532,1.008104707,0.4207775525,-0.5132401621,1.266166080
obstetric-anesthesiology,"Obstetric Anesthesiology",-8.0216877162e-2,2.593633929,-0.9710728993,0.3614276052,0.7382544532,1.008104707,0.4207775525,0.9591209072,1.266166080
pain-medicine,"Pain Medicine",-0.7971552610,-0.6182672911,-0.8066467081,-6.1723858118e-2,-0.6472913748,-0.7052429370,-0.3841558855,-1.398624157,1.266166080
pediatric-anesthesiology,"Pediatric Anesthesiology",-8.0216877162e-2,-0.1683918882,-0.9710728993,0.3614276052,0.7382544532,0.9913054047,0.4207775525,8.6668238384e-2,1.266166080
pediatric-cardiac-anesthesiology,"Pediatric Cardiac Anesthesiology",-8.0216877162e-2,-0.1683918882,-0.9710728993,0.3614276052,0.7382544532,1.008104707,0.4207775525,-0.6846981087,1.266166080
regional-anesthesiology-and-acute-pain-medicine,"Regional Anesthesiology and Acute Pain Medicine",-8.0216877162e-2,-0.6182672911,-0.9710728993,0.3614276052,0.7382544532,1.008104707,0.4207775525,-0.1923060594,1.266166080
dermatopathology,"Dermatopathology",-8.0216877162e-2,-1.442731625,1.195067731,-6.1723858118e-2,0.5655583341,-1.594627175,-0.2254188056,3.6552202114e-2,-0.9691641601
micrographic-surgery-and-dermatologic-oncology,"Micrographic Surgery and Dermatologic Oncology",-8.0216877162e-2,-1.442731625,-0.3967864419,1.086829185,0.5655583341,-0.7398298183,1.172982308,2.7058594151e-2,1.266166080
pediatric-dermatology,"Pediatric Dermatology",-8.0216877162e-2,-1.442731625,0.1058006860,-0.8929133415,0.5655583341,0.9913054047,1.172982308,1.628303158,-0.9691641601
emergency-medical-services,"Emergency Medical Services",-0.7971552610,-0.6182672911,0.7724896895,-1.633427262,1.1379646538e-2,8.3386083327e-2,-0.4903714157,-1.062784827,0.1485009600
medical-toxicology,"Medical Toxicology",-8.0216877162e-2,-0.6182672911,0.7724896895,-1.633427262,1.1379646538e-2,-0.2847390302,-0.5817106580,-0.5394128786,-0.9691641601
pediatric-emergency-medicine,"Pediatric Emergency Medicine",-8.0216877162e-2,-0.1683918882,0.1058006860,-0.8929133415,-1.412385470,0.9913054047,-0.3021824696,1.010223718,0.1485009600
sports-medicine,"Sports Medicine",-0.7971552610,1.281838503,-0.8066467081,-6.1723858118e-2,1.693593708,-0.6551681610,0.3600079122,-0.8245000498,0.1485009600
undersea-and-hyperbaric-medicine,"Undersea and Hyperbaric Medicine",-0.7971552610,-0.6182672911,0.7724896895,-1.633427262,1.1379646538e-2,0.1481845210,-0.2254188056,-0.2782792872,-0.9691641601
clinical-informatics,"Clinical Informatics",-0.7971552610,-0.6182672911,0.7724896895,-6.1723858118e-2,-0.8220656955,0.1481845210,-0.2254188056,-1.014745142,-0.9691641601
geriatric-medicine,"Geriatric Medicine",-0.7971552610,-0.6182672911,0.7724896895,-0.7266750932,-0.8220656955,-0.8717428314,-1.747870105,0.8044458766,-0.9691641601
hospice-and-palliative-medicine,"Hospice and Palliative Medicine",-0.7971552610,-0.6182672911,0.7724896895,-0.7266750932,-0.8220656955,0.1481845210,-0.3038619265,0.6429650676,-0.9691641601
cardiology,"Cardiology (Cardiovascular Disease)",0.6367214322,0.8555431123,0.7724896895,-2.011240721,1.037057456,0.1481845210,0.3556298007,-0.9901612732,0.1485009600
adult-congenital-heart-disease,"Adult Congenital Heart Disease",2.070598125,0.8555431123,0.7724896895,-2.011240721,1.037057456,-0.5761193728,-8.6009668350e-2,-0.1665140710,0.1485009600
advanced-heart-failure-and-transplant-cardiology,"Advanced Heart Failure and Transplant Cardiology",1.353659749,0.8555431123,0.7724896895,-2.011240721,1.037057456,-0.5761193728,-0.9945937921,-0.3096739633,0.1485009600
cardiac-electrophysiology,"Clinical Cardiac Electrophysiology",2.070598125,0.8555431123,0.7724896895,-2.011240721,1.037057456,-0.3517673973,0.3556298007,-1.819867936,1.266166080
interventional-cardiology,"Interventional Cardiology",1.353659749,0.8555431123,0.7724896895,-2.011240721,1.037057456,-0.3227614400,-0.6603316322,-1.596614374,1.266166080
internal-medicine-critical-care-medicine,"Internal Medicine Critical Care Medicine",-8.0216877162e-2,-0.6182672911,0.7724896895,-0.7266750932,-0.8220656955,2.013420297,1.158803664,-0.8457915508,0.1485009600
endocrinology-diabetes-and-metabolism,"Endocrinology, Diabetes, and Metabolism",-8.0216877162e-2,-0.6182672911,0.7724896895,-0.7266750932,-0.8828277752,-0.4362885896,0.2639627164,0.9880041863,-0.9691641601
gastroenterology,"Gastroenterology",0.6367214322,0.5799721173,0.7724896895,-0.7266750932,1.001400258,-0.1096876788,0.9371400192,-0.4723485082,1.266166080
hematology-and-medical-oncology,"Hematology and Medical Oncology",0.6367214322,-0.7789818146,0.7724896895,-0.7266750932,0.8207762628,1.002999438,0.6840592416,-0.2145385673,-0.9691641601
infectious-disease,"Infectious Disease",-8.0216877162e-2,-0.6182672911,0.7724896895,-0.7266750932,-0.8740665620,-0.2847390302,-0.9286260501,1.3770429898e-2,-0.9691641601
interventional-pulmonology,"Interventional Pulmonology",0.6367214322,-0.6182672911,0.7724896895,-6.1723858118e-2,0.2790074424,0.1481845210,0.4031267766,-1.478111327,1.266166080
medical-oncology,"Medical Oncology",-8.0216877162e-2,-0.7789818146,0.7724896895,-0.7266750932,1.054717681,-0.2574080593,5.934676066,-0.5018096189,-0.9691641601
nephrology,"Nephrology",-8.0216877162e-2,-0.6182672911,0.7724896895,-0.7266750932,-0.3635720361,4.3517212209e-3,-0.7572362686,-0.5100353068,-0.9691641601
pulmonary-disease,"Pulmonary Disease",-8.0216877162e-2,-0.6182672911,0.7724896895,-0.7266750932,0.2790074424,0.1472909370,3.571757442,-0.5667055492,0.1485009600
pulmonary-disease-and-critical-care-medicine,"Pulmonary Disease and Critical Care Medicine",0.6367214322,-0.6182672911,0.7724896895,-0.7266750932,0.2790074424,2.013420297,0.7263817266,-0.5022213786,0.1485009600
rheumatology,"Rheumatology",-8.0216877162e-2,-0.6182672911,0.7724896895,-0.7266750932,-0.9004326388,-0.9862093060,0.3695356427,0.7001396113,-0.9691641601
sleep-medicine,"Sleep Medicine",-0.7971552610,-0.6182672911,0.7724896895,-0.7266750932,-0.8220656955,-1.064491517,0.2308164376,0.1602929508,-0.9691641601
transplant-hepatology,"Transplant Hepatology",1.353659749,0.5799721173,0.7724896895,-0.7266750932,0.1300877887,-0.1096876788,0.9371400192,0.1851373438,-0.9691641601
medical-biochemical-genetics,"Medical Biochemical Genetics",-8.0216877162e-2,-0.6182672911,1.195067731,-6.1723858118e-2,-1.690629409,-1.766618087,-1.839452145,1.118785437,-0.9691641601
molecular-genetic-pathology,"Molecular Genetic Pathology",-8.0216877162e-2,-0.6182672911,1.195067731,-6.1723858118e-2,-1.690629409,-1.594627175,-0.5398869969,-0.4044657485,-0.9691641601
clinical-neurophysiology,"Clinical Neurophysiology",-8.0216877162e-2,-0.6182672911,1.078521191,-6.1723858118e-2,-0.4751615493,-0.4515002630,0.2237957205,0.1452893979,-0.9691641601
epilepsy,"Epilepsy",-8.0216877162e-2,-0.6182672911,1.078521191,-6.1723858118e-2,-0.4751615493,-0.4515002630,-0.5146285242,0.2217228474,-0.9691641601
neurocritical-care,"Neurocritical Care",-8.0216877162e-2,-0.6182672911,1.078521191,-0.7266750932,-0.4751615493,2.013420297,-0.2254188056,-0.3917907727,0.1485009600
neurodevelopmental-disabilities,"Neurodevelopmental Disabilities",0.6367214322,-0.6182672911,1.078521191,-6.1723858118e-2,-0.8220656955,-0.4515002630,-0.1191901484,1.398198402,-0.9691641601
neuromuscular-medicine,"Neuromuscular Medicine",-0.7971552610,-0.6182672911,1.078521191,-6.1723858118e-2,-0.4751615493,-0.4515002630,-0.2254188056,0.2406304977,0.1485009600
vascular-neurology,"Vascular Neurology",-8.0216877162e-2,1.755424903,-0.5461603479,1.086829185,-0.4751615493,-0.4515002630,-0.5218408461,-0.3233458733,-0.9691641601
complex-family-planning,"Complex Family Planning",0.6367214322,2.593633929,-0.8649094203,0.3463147283,-0.1869121194,-0.2045339671,-0.7785408513,2.439646607,1.266166080
gynecologic-oncology,"Gynecologic Oncology",1.353659749,2.593633929,-0.8649094203,0.3463147283,-0.1869121194,-0.2045339671,8.9773585232e-2,1.490619614,1.266166080
maternal-fetal-medicine,"Maternal-Fetal Medicine",1.353659749,2.593633929,-0.8649094203,0.3463147283,-0.1869121194,-0.2045339671,-0.2145726578,1.521265659,0.1485009600
reproductive-endocrinology-and-infertility,"Reproductive Endocrinology and Infertility",1.353659749,-0.6182672911,-0.8649094203,0.3463147283,-0.1869121194,-0.2045339671,0.3026470808,1.531830687,1.266166080
urogynecology-and-reconstructive-pelvic-surgery,"Urogynecology and Reconstructive Pelvic Surgery",1.353659749,2.593633929,-0.8649094203,0.3463147283,-0.1869121194,-0.2045339671,0.5442652140,1.622773297,1.266166080
ophthalmic-plastic-and-reconstructive-surgery,"Ophthalmic Plastic and Reconstructive Surgery",0.6367214322,2.099134871,0.1054600302,3.988436222,0.6532338334,-0.4176315450,-0.2254188056,2.515850161,1.266166080
adult-reconstructive-orthopaedics,"Adult Reconstructive Orthopaedics",0.6367214322,1.281838503,-0.8066467081,1.509980202,1.693593708,-0.6551681610,0.9594267486,-2.228897939,1.266166080
foot-and-ankle-orthopaedics,"Foot and Ankle Orthopaedics",0.6367214322,1.281838503,-0.8066467081,1.509980202,1.693593708,-0.6551681610,0.9594267486,-1.739823907,1.266166080
hand-surgery,"Hand Surgery",0.6367214322,1.281838503,-0.8066467081,1.509980202,1.693593708,-0.6551681610,-0.3714920807,1.5818163530e-2,1.266166080
musculoskeletal-oncology,"Musculoskeletal Oncology",0.6367214322,-0.6182672911,-0.8066467081,-6.1723858118e-2,1.693593708,-0.2574080593,0.9594267486,-0.5791855339,1.266166080
orthopaedic-sports-medicine,"Orthopaedic Sports Medicine",0.6367214322,1.281838503,-0.8066467081,1.509980202,1.693593708,-0.6551681610,0.9594267486,-1.879028201,1.266166080
orthopaedic-surgery-of-the-spine,"Orthopaedic Surgery of the Spine",0.6367214322,1.281838503,-0.8066467081,1.509980202,1.693593708,-0.6551681610,0.9594267486,-2.513582806,1.266166080
orthopaedic-trauma,"Orthopaedic Trauma",0.6367214322,1.281838503,-0.8066467081,1.509980202,1.693593708,-0.6551681610,0.9594267486,-0.3959268275,1.266166080
pediatric-orthopaedics,"Pediatric Orthopaedics",0.6367214322,1.281838503,-0.8066467081,1.509980202,1.693593708,0.9913054047,0.9594267486,-0.8911850501,1.266166080
neurotology,"Neurotology",1.353659749,-0.9395843387,9.4286574618e-2,1.086829185,0.9424738587,-0.9504277179,0.6408890459,-0.7929873329,1.266166080
pediatric-otolaryngology,"Pediatric Otolaryngology",0.6367214322,-0.9395843387,9.4286574618e-2,1.086829185,0.9424738587,0.9913054047,0.6408890459,0.7196240873,1.266166080
blood-banking-transfusion-medicine,"Blood Banking/Transfusion Medicine",-1.514093637,-0.6182672911,1.195067731,-6.1723858118e-2,-0.1937691839,0.1481845210,0.7404875568,1.1336778026e-3,-0.9691641601
chemical-pathology,"Chemical Pathology",-1.514093637,-0.6182672911,1.195067731,-6.1723858118e-2,-0.1937691839,-1.594627175,0.7404875568,-2.513582806,-0.9691641601
cytopathology,"Cytopathology",-1.514093637,-0.6182672911,1.195067731,-6.1723858118e-2,-0.1937691839,-1.594627175,0.7404875568,0.8077408593,-0.9691641601
forensic-pathology,"Forensic Pathology",-1.514093637,-0.6182672911,1.195067731,-6.1723858118e-2,-0.1937691839,-1.594627175,-0.9140526541,0.3603788825,-0.9691641601
hematopathology,"Hematopathology",-1.514093637,-0.6182672911,1.195067731,-6.1723858118e-2,-0.1937691839,-1.594627175,-0.3764766615,-0.2827859106,-0.9691641601
medical-microbiology,"Medical Microbiology",-8.0216877162e-2,-0.6182672911,1.195067731,-6.1723858118e-2,-0.1937691839,-0.2847390302,0.7404875568,1.398198402,-0.9691641601
neuropathology,"Neuropathology",-0.7971552610,-0.6182672911,1.195067731,-6.1723858118e-2,-0.1937691839,-1.594627175,0.7404875568,4.6855800256e-2,-0.9691641601
pediatric-pathology,"Pediatric Pathology",-1.514093637,-0.1683918882,1.195067731,-0.8929133415,-0.1937691839,0.9913054047,0.7404875568,0.2805466428,-0.9691641601
selective-pathology,"Selective Pathology",-1.514093637,-0.6182672911,1.195067731,-6.1723858118e-2,-0.1937691839,-1.594627175,0.7404875568,-0.1094033005,-0.9691641601
adolescent-medicine,"Adolescent Medicine",0.6367214322,-0.1683918882,0.1058006860,-0.8929133415,-1.412385470,0.1481845210,-1.488939132,1.438114547,-0.9691641601
child-abuse-pediatrics,"Child Abuse Pediatrics",0.6367214322,-0.1683918882,0.1058006860,-0.8929133415,-1.412385470,0.9913054047,-1.570311762,1.489435283,-0.9691641601
developmental-behavioral-pediatrics,"Developmental-Behavioral Pediatrics",0.6367214322,-0.1683918882,0.1058006860,-0.8929133415,-1.412385470,0.9913054047,-0.9087941306,1.887171040,-0.9691641601
neonatal-perinatal-medicine,"Neonatal-Perinatal Medicine",0.6367214322,-0.1683918882,0.1058006860,-0.8929133415,-1.412385470,0.1481845210,-0.4683952691,1.283908209,0.1485009600
pediatric-cardiology,"Pediatric Cardiology",0.6367214322,0.8555431123,0.1058006860,-2.011240721,1.037057456,2.289327560,6.6586841724e-2,0.1818026286,0.1485009600
pediatric-critical-care-medicine,"Pediatric Critical Care Medicine",0.6367214322,-0.1683918882,0.1058006860,-0.8929133415,-1.412385470,0.9913054047,-0.3982382049,1.110802218,0.1485009600
pediatric-endocrinology,"Pediatric Endocrinology",0.6367214322,-0.6182672911,0.1058006860,-0.8929133415,-1.412385470,0.9913054047,-1.601487070,1.576744429,-0.9691641601
pediatric-gastroenterology,"Pediatric Gastroenterology",0.6367214322,0.5799721173,0.1058006860,-0.8929133415,1.001400258,0.9913054047,-0.1027283070,0.9504935185,0.1485009600
pediatric-hematology-oncology,"Pediatric Hematology/Oncology",0.6367214322,-0.7789818146,0.1058006860,-0.8929133415,-1.412385470,2.719544219,-0.6330424359,0.9975307874,-0.9691641601
pediatric-infectious-diseases,"Pediatric Infectious Diseases",0.6367214322,-0.1683918882,0.1058006860,-0.8929133415,-0.8740665620,0.9913054047,-1.342908644,0.4864298510,-0.9691641601
pediatric-nephrology,"Pediatric Nephrology",0.6367214322,-0.1683918882,0.1058006860,-0.8929133415,-0.3635720361,0.9913054047,-2.019085558,1.021598334,-0.9691641601
pediatric-pulmonology,"Pediatric Pulmonology",0.6367214322,-0.1683918882,0.1058006860,-0.8929133415,-1.412385470,0.9913054047,-1.042745709,1.071225811,-0.9691641601
pediatric-rheumatology,"Pediatric Rheumatology",0.6367214322,-0.1683918882,0.1058006860,-0.8929133415,-0.9004326388,0.9913054047,-1.438656100,1.519922851,-0.9691641601
pediatric-transplant-hepatology,"Pediatric Transplant Hepatology",1.353659749,0.5799721173,0.1058006860,-0.8929133415,0.1300877887,0.9913054047,-1.580278374,1.845259116,-0.9691641601
pediatric-hospital-medicine,"Pediatric Hospital Medicine",-8.0216877162e-2,-0.1683918882,0.1058006860,-0.8929133415,-1.412385470,0.9913054047,-0.2052806582,1.642092757,-0.9691641601
brain-injury-medicine,"Brain Injury Medicine",-0.7971552610,-0.6182672911,-0.8066467081,-6.1723858118e-2,-0.6472913748,-0.4515002630,-0.8677379195,1.1336778026e-3,0.1485009600
spinal-cord-injury-medicine,"Spinal Cord Injury Medicine",-0.7971552610,-0.6182672911,-0.8066467081,-6.1723858118e-2,-0.6472913748,0.1481845210,-0.9815336650,0.3028996558,0.1485009600
pediatric-rehabilitation-medicine,"Pediatric Rehabilitation Medicine",-8.0216877162e-2,-0.6182672911,-0.8066467081,-0.8929133415,-1.412385470,0.9913054047,-1.648828615,1.742091263,0.1485009600
craniofacial-surgery,"Craniofacial Surgery",1.353659749,-0.4590404405,-4.031292559,1.086829185,1.413669511,0.4939655789,-0.2254188056,-8.5580687165e-2,1.266166080
addiction-medicine,"Addiction Medicine",-2.231031895,-0.6216916746,0.5198639910,-6.1723858118e-2,-0.8220656955,0.8343016599,-0.8423623891,0.1909236058,-0.9691641601
addiction-psychiatry,"Addiction Psychiatry",-8.0216877162e-2,-0.6216916746,0.5198639910,0.1800770611,-0.6231885097,0.8343016599,-0.7389380347,-0.4763441412,-0.9691641601
child-and-adolescent-psychiatry,"Child and Adolescent Psychiatry",-8.0216877162e-2,-0.6216916746,0.5198639910,0.1800770611,-1.412385470,0.8343016599,-0.2363177856,0.5332331003,-0.9691641601
forensic-psychiatry,"Forensic Psychiatry",-8.0216877162e-2,-0.6216916746,0.5198639910,0.1800770611,-0.6231885097,0.8343016599,-0.8840701141,-0.1593801221,-0.9691641601
geriatric-psychiatry,"Geriatric Psychiatry",-8.0216877162e-2,-0.6216916746,0.5198639910,0.1800770611,-0.6231885097,-0.8717428314,0.1223410274,0.7104126808,-0.9691641601
consultation-liaison-psychiatry,"Consultation-Liaison Psychiatry",-8.0216877162e-2,-0.6216916746,0.5198639910,0.1800770611,-0.6231885097,0.8343016599,-1.022874346,-0.1289378696,-0.9691641601
abdominal-radiology,"Abdominal Radiology",0.6367214322,1.222413289,-8.7890936323e-2,0.4369902909,1.278797736,0.2294000980,7.7978614717e-2,-0.1082018193,-0.9691641601
musculoskeletal-radiology,"Musculoskeletal Radiology",0.6367214322,1.222413289,-8.7890936323e-2,0.4369902909,1.278797736,0.2294000980,-0.7700627835,-1.099054784,-0.9691641601
neuroradiology,"Neuroradiology",0.6367214322,1.222413289,-8.7890936323e-2,0.4369902909,1.278797736,0.2294000980,-0.3665887003,-1.507696212,-0.9691641601
nuclear-radiology,"Nuclear Radiology",0.6367214322,1.222413289,-8.7890936323e-2,0.4369902909,1.278797736,0.2294000980,7.7978614717e-2,-1.352944433,-0.9691641601
pediatric-radiology,"Pediatric Radiology",0.6367214322,1.222413289,-8.7890936323e-2,0.4369902909,-1.412385470,0.9913054047,7.7978614717e-2,-0.8969793592,-0.9691641601
complex-general-surgical-oncology,"Complex General Surgical Oncology",1.353659749,-0.4590404405,0.1054600302,1.086829185,0.4424056506,-0.2574080593,0.6445434168,-0.2037691431,1.266166080
pediatric-surgery,"Pediatric Surgery",1.353659749,-0.1683918882,0.1058006860,1.086829185,-1.412385470,0.9913054047,0.5858814302,0.3684518266,1.266166080
surgical-critical-care,"Surgical Critical Care",-0.7971552610,-0.4590404405,0.1054600302,1.086829185,0.4424056506,2.013420297,-0.5034051986,7.8755321061e-3,0.1485009600
vascular-surgery-independent,"Vascular Surgery - Independent",1.353659749,-0.4590404405,0.1054600302,1.086829185,0.4424056506,0.3188839121,0.2826461878,-0.7595456775,1.266166080
congenital-cardiac-surgery,"Congenital Cardiac Surgery",2.787536383,-0.4590404405,0.1054600302,1.086829185,0.4424056506,-0.3517673973,1.055187945,-0.6846981087,1.266166080
pediatric-urology,"Pediatric Urology",1.353659749,1.755424903,-0.5461603479,1.086829185,-1.412385470,0.9913054047,-0.2254188056,-0.3386928863,1.266166080
