specialty_id,specialty_name,x,y,cluster_id,cluster_name,representative_total_gme_years,average_total_compensation_usd,female_resident_percent,procedure_profile,procedure_intensity,training_duration_z,clinical_work_intensity_z,scientific_activity_index_z,private_practice_z,salary_z,workforce_burden_z,competitiveness_z,female_representation_z,procedure_intensity_z
neurology,Neurology,-0.361314805736,-4.11297529741,6,Cluster 6: high clinical intensity + higher female representation,4.00000000000,370000.000000,50.6207962036,predominantly-clinical,0.00000000000,-0.797155261040,1.75542485714,-0.546160340309,1.08682918549,-0.475161552429,-0.451500266790,0.481877416372,3.235624730587e-2,-0.969164133072
child-neurology,Child Neurology,-0.451993165467,-3.93685481334,6,Cluster 6: high clinical intensity + higher female representation,5.00000000000,370000.000000,65.1209716797,predominantly-clinical,0.00000000000,-8.021687716246e-2,1.75542485714,-0.546160340309,1.08682918549,-0.475161552429,-0.451500266790,-0.119190149009,0.761632621288,-0.969164133072
nuclear-medicine,Nuclear Medicine,-0.185907428300,-4.25756802663,6,Cluster 6: high clinical intensity + higher female representation,4.00000000000,376000.000000,45.7142868042,predominantly-clinical,0.00000000000,-0.797155261040,1.22241330147,-8.789093792439e-2,-6.172385811806e-2,-0.429992198944,0.229400098324,-0.225418806076,-0.214413434267,-0.969164133072
obstetrics-and-gynecology,Obstetrics and Gynecology,-0.769611245086,-3.41779121341,6,Cluster 6: high clinical intensity + higher female representation,4.00000000000,410000.000000,88.8200759888,procedure-dominant,1.00000000000,-0.797155261040,2.59363389015,-0.864909410477,0.346314728260,-0.186912119389,-0.204533964396,0.141681730747,1.95356345177,1.26616609097
ophthalmology,Ophthalmology,-1.62908942314,-4.16879198605,5,Cluster 5: higher compensation + high clinical intensity,4.00000000000,553000.000000,42.7849502563,procedure-dominant,1.00000000000,-0.797155261040,2.09913492203,0.105460032821,3.98843622208,0.653233826160,-0.417631536722,-0.225418806076,-0.361742317677,1.26616609097
orthopaedic-surgery,Orthopaedic Surgery,-2.09584053591,-4.57559834687,5,Cluster 5: higher compensation + high clinical intensity,5.00000000000,801000.000000,23.9314384460,procedure-dominant,1.00000000000,-8.021687716246e-2,1.28183853626,-0.806646704674,1.50998020172,1.69359374046,-0.655168175697,0.959426760674,-1.30996716022,1.26616609097
osteopathic-neuromusculoskeletal-medicine,Osteopathic Neuromusculoskeletal Medicine,-0.157150683114,-10.3685362611,4,Cluster 4: short training + research-light,3.00000000000,242000.000000,36.5591392517,mixed-procedural-clinical,0.500000000000,-2.94797015190,-0.618267297745,-0.806646704674,-6.172385811806e-2,-1.66732668877,0.148184522986,-2.86765599251,-0.674865365028,0.148500964046
otolaryngology-head-and-neck-surgery,Otolaryngology - Head and Neck Surgery,-3.06235082555,-8.68334709078,3,Cluster 3: procedure-oriented + long training,5.00000000000,613000.000000,45.3723411560,procedure-dominant,1.00000000000,-8.021687716246e-2,-0.939584314823,9.428657591343e-2,1.08682918549,0.942473888397,-0.950427711010,0.640889048576,-0.231611385942,1.26616609097
pathology-anatomic-and-clinical,Pathology - Anatomic and Clinical,0.658715780145,-11.4011094031,1,Cluster 1: predominantly clinical + research-intensive,4.00000000000,409000.000000,55.6591796875,predominantly-clinical,0.00000000000,-0.797155261040,-0.618267297745,1.19506776333,-6.172385811806e-2,-0.193769186735,-1.59462714195,0.740487575531,0.285758227110,-0.969164133072
pediatrics,Pediatrics,2.61481282195,-9.83401768171,noise,Unclustered,3.00000000000,265000.000000,75.6162719727,predominantly-clinical,0.00000000000,-1.51409363747,-0.168391883373,0.105800688267,-0.892913341522,-1.41238546371,0.991305410862,-0.292050153017,1.28948676586,-0.969164133072
physical-medicine-and-rehabilitation,Physical Medicine and Rehabilitation,-0.818708336013,-10.2992851608,4,Cluster 4: short training + research-light,4.00000000000,348000.000000,36.9179611206,mixed-procedural-clinical,0.500000000000,-0.797155261040,-0.618267297745,-0.806646704674,-6.172385811806e-2,-0.647291362286,-0.636429309845,0.543169975281,-0.656818747520,0.148500964046
plastic-surgery,Plastic Surgery,-2.17341663494,-7.69082840483,2,Cluster 2: research-light + procedure-oriented,6.00000000000,725000.000000,36.0824737549,procedure-dominant,1.00000000000,0.636721432209,-0.459040433168,-4.03129243851,1.08682918549,1.41366946697,0.493965566158,-0.225418806076,-0.698838949203,1.26616609097
plastic-surgery-integrated,Plastic Surgery - Integrated,-2.17166193364,-7.68889269772,2,Cluster 2: research-light + procedure-oriented,6.00000000000,725000.000000,60.0000000000,procedure-dominant,1.00000000000,0.636721432209,-0.459040433168,-4.03129243851,1.08682918549,1.41366946697,0.493965566158,1.09774708748,0.504076957703,1.26616609097
public-health-and-general-preventive-medicine,Public Health and General Preventive Medicine,-0.373598415537,-11.0690581657,noise,Unclustered,3.00000000000,365000.000000,61.5384635925,predominantly-clinical,0.00000000000,-2.23103189468,-0.618267297745,-2.28199124336,-6.172385811806e-2,-0.513365745544,-2.85551619530,-0.245949745178,0.581452906132,-0.969164133072
aerospace-medicine,Aerospace Medicine,-0.326690062469,-11.0943151951,noise,Unclustered,3.00000000000,365000.000000,23.5294113159,predominantly-clinical,0.00000000000,-2.23103189468,-0.618267297745,-2.28199124336,-6.172385811806e-2,-0.513365745544,-2.85551619530,-0.225418806076,-1.33018684387,-0.969164133072
occupational-and-environmental-medicine,Occupational and Environmental Medicine,-0.453974474229,-10.9359350244,4,Cluster 4: short training + research-light,3.00000000000,365000.000000,37.5000000000,predominantly-clinical,0.00000000000,-2.23103189468,-0.618267297745,-2.28199124336,-6.172385811806e-2,-0.513365745544,-2.85551619530,-0.464760005474,-0.627545416355,-0.969164133072
psychiatry,Psychiatry,1.86543381222,-9.35629803147,1,Cluster 1: predominantly clinical + research-intensive,4.00000000000,351000.000000,53.5097122192,predominantly-clinical,0.00000000000,-0.797155261040,-0.621691703796,0.519863963127,0.180077061057,-0.623188495636,0.834301650524,0.122341029346,0.177652344108,-0.969164133072
radiation-oncology,Radiation Oncology,-2.58811757335,-9.02172483930,noise,Unclustered,5.00000000000,647000.000000,37.9120864868,mixed-procedural-clinical,0.500000000000,-8.021687716246e-2,-2.19155907631,-8.789093792439e-2,-6.172385811806e-2,1.09405171871,-0.257408052683,0.210119187832,-0.606819748878,0.148500964046
diagnostic-radiology,Diagnostic Radiology,-1.04314070673,-4.90461494269,5,Cluster 5: higher compensation + high clinical intensity,5.00000000000,691000.000000,29.2647056580,mixed-procedural-clinical,0.500000000000,-8.021687716246e-2,1.22241330147,-8.789093792439e-2,0.436990290880,1.27879774570,0.229400098324,7.797861099243e-2,-1.04173398018,0.148500964046
interventional-radiology-independent,Interventional Radiology - Independent,-1.45505035229,-5.00307310365,5,Cluster 5: higher compensation + high clinical intensity,7.00000000000,691000.000000,14.9068317413,procedure-dominant,1.00000000000,1.35365974903,1.22241330147,-8.789093792439e-2,0.436990290880,1.27879774570,0.229400098324,-1.06572139263,-1.76385366917,1.26616609097
interventional-radiology-integrated,Interventional Radiology - Integrated,-1.44532627297,-4.80712294710,5,Cluster 5: higher compensation + high clinical intensity,6.00000000000,691000.000000,23.7977809906,procedure-dominant,1.00000000000,0.636721432209,1.22241330147,-8.789093792439e-2,0.436990290880,1.27879774570,0.229400098324,9.281573444605e-2,-1.31668937206,1.26616609097
general-surgery,General Surgery,-0.348922401959,-8.21682301030,noise,Unclustered,5.00000000000,513000.000000,50.1447257996,procedure-dominant,1.00000000000,-8.021687716246e-2,-0.459040433168,0.105460032821,-1.86011528969,0.442405641079,0.493965566158,0.773955762386,8.412525057793e-3,1.26616609097
vascular-surgery-integrated,Vascular Surgery - Integrated,-3.08820071029,-8.27114362787,3,Cluster 3: procedure-oriented + long training,5.00000000000,513000.000000,39.9122810364,procedure-dominant,1.00000000000,-8.021687716246e-2,-0.459040433168,0.105460032821,1.08682918549,0.442405641079,0.318883925676,0.733462452888,-0.506221413612,1.26616609097
thoracic-surgery-independent,Thoracic Surgery - Independent,-3.57819307566,-7.93341880805,3,Cluster 3: procedure-oriented + long training,7.00000000000,513000.000000,27.1653537750,procedure-dominant,1.00000000000,1.35365974903,-0.459040433168,0.105460032821,1.08682918549,0.442405641079,0.493965566158,1.05518794060,-1.14731955528,1.26616609097
thoracic-surgery-integrated,Thoracic Surgery - Integrated,-3.23081468100,-8.03494070212,3,Cluster 3: procedure-oriented + long training,6.00000000000,513000.000000,36.1216735840,procedure-dominant,1.00000000000,0.636721432209,-0.459040433168,0.105460032821,1.08682918549,0.442405641079,0.493965566158,0.862833738327,-0.696867465973,1.26616609097
urology,Urology,-1.43865497298,-4.45260474763,5,Cluster 5: higher compensation + high clinical intensity,5.00000000000,639000.000000,36.3731117249,procedure-dominant,1.00000000000,-8.021687716246e-2,1.75542485714,-0.546160340309,1.08682918549,1.05911540985,-9.958175942302e-3,-0.225418806076,-0.684221565723,1.26616609097
internal-medicine-pediatrics,Internal Medicine/Pediatrics,2.74103694812,-9.71613664442,noise,Unclustered,4.00000000000,265000.000000,63.6658020020,predominantly-clinical,0.00000000000,-0.797155261040,-0.168391883373,0.105800688267,-0.892913341522,-1.41238546371,0.991305410862,0.155266091228,0.688446104527,-0.969164133072
adult-cardiothoracic-anesthesiology,Adult Cardiothoracic Anesthesiology,-2.13952757106,-8.21893139524,2,Cluster 2: research-light + procedure-oriented,5.00000000000,570000.000000,33.9694671631,procedure-dominant,1.00000000000,-8.021687716246e-2,-0.618267297745,-0.971072912216,0.361427605152,0.738254427910,1.00810468197,0.420777559280,-0.805111289024,1.26616609097
anesthesiology-critical-care-medicine,Anesthesiology Critical Care Medicine,-2.20711723159,-8.24496074302,2,Cluster 2: research-light + procedure-oriented,5.00000000000,570000.000000,39.7727279663,procedure-dominant,1.00000000000,-8.021687716246e-2,-0.618267297745,-0.971072912216,0.361427605152,0.738254427910,1.00810468197,0.420777559280,-0.513240158558,1.26616609097
obstetric-anesthesiology,Obstetric Anesthesiology,-0.911410993764,-3.53602734009,6,Cluster 6: high clinical intensity + higher female representation,5.00000000000,570000.000000,69.0476226807,procedure-dominant,1.00000000000,-8.021687716246e-2,2.59363389015,-0.971072912216,0.361427605152,0.738254427910,1.00810468197,0.420777559280,0.959120929241,1.26616609097
pain-medicine,Pain Medicine,-0.855682592287,-10.2300650348,4,Cluster 4: short training + research-light,5.00000000000,348000.000000,22.1686744690,procedure-dominant,1.00000000000,-0.797155261040,-0.618267297745,-0.806646704674,-6.172385811806e-2,-0.647291362286,-0.705242931843,-0.384155899286,-1.39862418175,1.26616609097
pediatric-anesthesiology,Pediatric Anesthesiology,-2.41374968617,-8.15747420567,2,Cluster 2: research-light + procedure-oriented,5.00000000000,570000.000000,51.7006797791,procedure-dominant,1.00000000000,-8.021687716246e-2,-0.168391883373,-0.971072912216,0.361427605152,0.738254427910,0.991305410862,0.420777559280,8.666823804379e-2,1.26616609097
pediatric-cardiac-anesthesiology,Pediatric Cardiac Anesthesiology,-2.29842641148,-8.13869706482,2,Cluster 2: research-light + procedure-oriented,5.00000000000,570000.000000,36.3636360168,procedure-dominant,1.00000000000,-8.021687716246e-2,-0.168391883373,-0.971072912216,0.361427605152,0.738254427910,1.00810468197,0.420777559280,-0.684698104858,1.26616609097
regional-anesthesiology-and-acute-pain-medicine,Regional Anesthesiology and Acute Pain Medicine,-2.37489885525,-8.22700624463,2,Cluster 2: research-light + procedure-oriented,5.00000000000,570000.000000,46.1538467407,procedure-dominant,1.00000000000,-8.021687716246e-2,-0.618267297745,-0.971072912216,0.361427605152,0.738254427910,1.00810468197,0.420777559280,-0.192306056619,1.26616609097
dermatopathology,Dermatopathology,0.489343481367,-11.6235169720,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,536000.000000,50.7042236328,predominantly-clinical,0.00000000000,-8.021687716246e-2,-1.44273161888,1.19506776333,-6.172385811806e-2,0.565558314323,-1.59462714195,-0.225418806076,3.655220195651e-2,-0.969164133072
micrographic-surgery-and-dermatologic-oncology,Micrographic Surgery and Dermatologic Oncology,-2.88928380576,-8.77045490620,noise,Unclustered,5.00000000000,536000.000000,50.5154647827,procedure-dominant,1.00000000000,-8.021687716246e-2,-1.44273161888,-0.396786451340,1.08682918549,0.565558314323,-0.739829838276,1.17298233509,2.705859392881e-2,1.26616609097
pediatric-dermatology,Pediatric Dermatology,0.728303396460,-9.63946193922,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,536000.000000,82.3529434204,predominantly-clinical,0.00000000000,-8.021687716246e-2,-1.44273161888,0.105800688267,-0.892913341522,0.565558314323,0.991305410862,1.17298233509,1.62830317020,-0.969164133072
emergency-medical-services,Emergency Medical Services,1.02272928267,-9.89810875162,1,Cluster 1: predominantly clinical + research-intensive,4.00000000000,440000.000000,28.8461532593,mixed-procedural-clinical,0.500000000000,-0.797155261040,-0.618267297745,0.772489666939,-1.63342726231,1.137964613736e-2,8.338608592749e-2,-0.490371406078,-1.06278479099,0.148500964046
medical-toxicology,Medical Toxicology,1.21588953965,-10.1005900245,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,440000.000000,39.2523345947,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.618267297745,0.772489666939,-1.63342726231,1.137964613736e-2,-0.284739017487,-0.581710636616,-0.539412856102,-0.969164133072
pediatric-emergency-medicine,Pediatric Emergency Medicine,4.10127421107,-9.66275162891,9,Cluster 9: higher female representation + lower compensation,5.00000000000,265000.000000,70.0636901855,mixed-procedural-clinical,0.500000000000,-8.021687716246e-2,-0.168391883373,0.105800688267,-0.892913341522,-1.41238546371,0.991305410862,-0.302182465792,1.01022374630,0.148500964046
sports-medicine,Sports Medicine,-1.09556812172,-4.86289723927,5,Cluster 5: higher compensation + high clinical intensity,4.00000000000,801000.000000,33.5839614868,mixed-procedural-clinical,0.500000000000,-0.797155261040,1.28183853626,-0.806646704674,-6.172385811806e-2,1.69359374046,-0.655168175697,0.360007911921,-0.824500024319,0.148500964046
undersea-and-hyperbaric-medicine,Undersea and Hyperbaric Medicine,1.43552573227,-9.93344862069,1,Cluster 1: predominantly clinical + research-intensive,4.00000000000,440000.000000,44.4444427490,predominantly-clinical,0.00000000000,-0.797155261040,-0.618267297745,0.772489666939,-1.63342726231,1.137964613736e-2,0.148184522986,-0.225418806076,-0.278279274702,-0.969164133072
clinical-informatics,Clinical Informatics,1.58730934399,-9.58185770717,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,327000.000000,29.8013248444,predominantly-clinical,0.00000000000,-0.797155261040,-0.618267297745,0.772489666939,-6.172385811806e-2,-0.822065711021,0.148184522986,-0.225418806076,-1.01474511623,-0.969164133072
geriatric-medicine,Geriatric Medicine,1.66683937041,-11.4982453401,1,Cluster 1: predominantly clinical + research-intensive,4.00000000000,327000.000000,65.9722213745,predominantly-clinical,0.00000000000,-0.797155261040,-0.618267297745,0.772489666939,-0.726675093174,-0.822065711021,-0.871742844582,-1.74787008762,0.804445862770,-0.969164133072
hospice-and-palliative-medicine,Hospice and Palliative Medicine,1.83432440759,-10.2614871968,1,Cluster 1: predominantly clinical + research-intensive,4.00000000000,327000.000000,62.7615051270,predominantly-clinical,0.00000000000,-0.797155261040,-0.618267297745,0.772489666939,-0.726675093174,-0.822065711021,0.148184522986,-0.303861916065,0.642965078354,-0.969164133072
cardiology,Cardiology (Cardiovascular Disease),-1.800242669900e-4,-7.86552434737,7,Cluster 7: employment-oriented + long training,6.00000000000,634000.000000,30.2901248932,mixed-procedural-clinical,0.500000000000,0.636721432209,0.855543136597,0.772489666939,-2.01124072075,1.03705739975,0.148184522986,0.355629801750,-0.990161299706,0.148500964046
adult-congenital-heart-disease,Adult Congenital Heart Disease,-4.815625182189e-2,-7.75403536153,7,Cluster 7: employment-oriented + long training,8.00000000000,634000.000000,46.6666679382,mixed-procedural-clinical,0.500000000000,2.07059812546,0.855543136597,0.772489666939,-2.01124072075,1.03705739975,-0.576119363308,-8.600966632366e-2,-0.166514068842,0.148500964046
advanced-heart-failure-and-transplant-cardiology,Advanced Heart Failure and Transplant Cardiology,3.096006188064e-2,-7.67455830956,7,Cluster 7: employment-oriented + long training,7.00000000000,634000.000000,43.8202247620,mixed-procedural-clinical,0.500000000000,1.35365974903,0.855543136597,0.772489666939,-2.01124072075,1.03705739975,-0.576119363308,-0.994593799114,-0.309673964977,0.148500964046
cardiac-electrophysiology,Clinical Cardiac Electrophysiology,-0.294318625373,-7.55988669146,7,Cluster 7: employment-oriented + long training,8.00000000000,634000.000000,13.7931032181,procedure-dominant,1.00000000000,2.07059812546,0.855543136597,0.772489666939,-2.01124072075,1.03705739975,-0.351767390966,0.355629801750,-1.81986796856,1.26616609097
interventional-cardiology,Interventional Cardiology,-0.182568747873,-7.62035523901,7,Cluster 7: employment-oriented + long training,7.00000000000,634000.000000,18.2320442200,procedure-dominant,1.00000000000,1.35365974903,0.855543136597,0.772489666939,-2.01124072075,1.03705739975,-0.322761446238,-0.660331606865,-1.59661436081,1.26616609097
internal-medicine-critical-care-medicine,Internal Medicine Critical Care Medicine,1.06700418941,-8.74817115830,8,Cluster 8: higher physician availability + more competitive training,5.00000000000,327000.000000,33.1606216431,mixed-procedural-clinical,0.500000000000,-8.021687716246e-2,-0.618267297745,0.772489666939,-0.726675093174,-0.822065711021,2.01342034340,1.15880370140,-0.845791578293,0.148500964046
endocrinology-diabetes-and-metabolism,"Endocrinology, Diabetes, and Metabolism",1.26131301428,-10.7612436078,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,320000.000000,69.6219024658,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.618267297745,0.772489666939,-0.726675093174,-0.882827758789,-0.436288595200,0.263962715864,0.988004207611,-0.969164133072
gastroenterology,Gastroenterology,-0.461120479497,-7.95647081305,7,Cluster 7: employment-oriented + long training,6.00000000000,626000.000000,40.5857734680,procedure-dominant,1.00000000000,0.636721432209,0.579972088337,0.772489666939,-0.726675093174,1.00140023232,-0.109687678516,0.937140047550,-0.472348511219,1.26616609097
hematology-and-medical-oncology,Hematology and Medical Oncology,0.659246590667,-8.80483632892,8,Cluster 8: higher physician availability + more competitive training,6.00000000000,587000.000000,45.7117996216,predominantly-clinical,0.00000000000,0.636721432209,-0.778981804848,0.772489666939,-0.726675093174,0.820776283741,1.00299942493,0.684059262276,-0.214538574219,-0.969164133072
infectious-disease,Infectious Disease,1.67977994040,-10.6079387938,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,321000.000000,50.2512550354,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.618267297745,0.772489666939,-0.726675093174,-0.874066591263,-0.284739017487,-0.928626060486,1.377043034881e-2,-0.969164133072
interventional-pulmonology,Interventional Pulmonology,-3.15661022006,-7.82696159741,3,Cluster 3: procedure-oriented + long training,6.00000000000,484000.000000,20.5882358551,procedure-dominant,1.00000000000,0.636721432209,-0.618267297745,0.772489666939,-6.172385811806e-2,0.279007434845,0.148184522986,0.403126776218,-1.47811138630,1.26616609097
medical-oncology,Medical Oncology,0.282446283570,-9.12957370641,noise,Unclustered,6.00000000000,638000.000000,40.0000000000,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.778981804848,0.772489666939,-0.726675093174,1.05471765995,-0.257408052683,5.93467617035,-0.501809597015,-0.969164133072
nephrology,Nephrology,1.44077025627,-9.99495593751,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,385000.000000,39.8364486694,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.618267297745,0.772489666939,-0.726675093174,-0.363572031260,4.351721145213e-3,-0.757236242294,-0.510035336018,-0.969164133072
pulmonary-disease,Pulmonary Disease,0.257167794968,-8.94989236775,8,Cluster 8: higher physician availability + more competitive training,5.00000000000,484000.000000,38.7096786499,mixed-procedural-clinical,0.500000000000,-8.021687716246e-2,-0.618267297745,0.772489666939,-0.726675093174,0.279007434845,0.147290930152,3.57175755501,-0.566705524921,0.148500964046
pulmonary-disease-and-critical-care-medicine,Pulmonary Disease and Critical Care Medicine,0.777011778891,-8.50877042626,8,Cluster 8: higher physician availability + more competitive training,6.00000000000,484000.000000,39.9918136597,mixed-procedural-clinical,0.500000000000,0.636721432209,-0.618267297745,0.772489666939,-0.726675093174,0.279007434845,2.01342034340,0.726381719112,-0.502221405506,0.148500964046
rheumatology,Rheumatology,1.04496194912,-11.0578122350,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,318000.000000,63.8983039856,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.618267297745,0.772489666939,-0.726675093174,-0.900432646275,-0.986209332943,0.369535654783,0.700139582157,-0.969164133072
sleep-medicine,Sleep Medicine,1.08719526223,-11.1395735952,1,Cluster 1: predominantly clinical + research-intensive,4.00000000000,327000.000000,53.1645584106,predominantly-clinical,0.00000000000,-0.797155261040,-0.618267297745,0.772489666939,-0.726675093174,-0.822065711021,-1.06449151039,0.230816438794,0.160292953253,-0.969164133072
transplant-hepatology,Transplant Hepatology,0.341949512291,-8.52863818038,8,Cluster 8: higher physician availability + more competitive training,7.00000000000,459000.000000,53.6585388184,predominantly-clinical,0.00000000000,1.35365974903,0.579972088337,0.772489666939,-0.726675093174,0.130087792873,-0.109687678516,0.937140047550,0.185137346387,-0.969164133072
medical-biochemical-genetics,Medical Biochemical Genetics,1.71067318099,-11.4547677866,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,240000.000000,72.2222213745,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.618267297745,1.19506776333,-6.172385811806e-2,-1.69062936306,-1.76661813259,-1.83945214748,1.11878538132,-0.969164133072
molecular-genetic-pathology,Molecular Genetic Pathology,1.37723013409,-11.2006842869,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,240000.000000,41.9354858398,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.618267297745,1.19506776333,-6.172385811806e-2,-1.69062936306,-1.59462714195,-0.539887011051,-0.404465734959,-0.969164133072
clinical-neurophysiology,Clinical Neurophysiology,1.06132760172,-10.5163046216,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,370000.000000,52.8662414551,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.618267297745,1.07852113247,-6.172385811806e-2,-0.475161552429,-0.451500266790,0.223795726895,0.145289391279,-0.969164133072
epilepsy,Epilepsy,1.49179486563,-10.6303798673,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,370000.000000,54.3859634399,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.618267297745,1.07852113247,-6.172385811806e-2,-0.475161552429,-0.451500266790,-0.514628529549,0.221722841263,-0.969164133072
neurocritical-care,Neurocritical Care,1.11840969113,-8.79726499886,8,Cluster 8: higher physician availability + more competitive training,6.00000000000,370000.000000,42.1875000000,mixed-procedural-clinical,0.500000000000,-8.021687716246e-2,-0.618267297745,1.07852113247,-0.726675093174,-0.475161552429,2.01342034340,-0.225418806076,-0.391790777445,0.148500964046
neurodevelopmental-disabilities,Neurodevelopmental Disabilities,1.16396527733,-10.8242681213,1,Cluster 1: predominantly clinical + research-intensive,6.00000000000,327000.000000,77.7777786255,predominantly-clinical,0.00000000000,0.636721432209,-0.618267297745,1.07852113247,-6.172385811806e-2,-0.822065711021,-0.451500266790,-0.119190149009,1.39819836617,-0.969164133072
neuromuscular-medicine,Neuromuscular Medicine,0.802412577016,-10.6374916320,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,370000.000000,54.7619056702,mixed-procedural-clinical,0.500000000000,-0.797155261040,-0.618267297745,1.07852113247,-6.172385811806e-2,-0.475161552429,-0.451500266790,-0.225418806076,0.240630492568,0.148500964046
vascular-neurology,Vascular Neurology,-0.347010219641,-4.17498669070,6,Cluster 6: high clinical intensity + higher female representation,5.00000000000,370000.000000,43.5483856201,predominantly-clinical,0.00000000000,-8.021687716246e-2,1.75542485714,-0.546160340309,1.08682918549,-0.475161552429,-0.451500266790,-0.521840870380,-0.323345869780,-0.969164133072
